"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1531","test_empty_courses_list[chromium]","tests.courses","Wed Dec 31 08:59:41 UTC 2025","passed","Wed Dec 31 08:59:43 UTC 2025","TestCourses","test_courses","",""
"","2444","test_create_course[chromium]","tests.courses","Wed Dec 31 08:59:42 UTC 2025","passed","Wed Dec 31 08:59:45 UTC 2025","TestCourses","test_courses","",""
"","3162","User login with correct email and password","LMS system","Wed Dec 31 08:59:36 UTC 2025","passed","Wed Dec 31 08:59:39 UTC 2025","Authorization","Authentication","",""
"","1993","Check displaying of dashboard page","LMS system","Wed Dec 31 08:59:45 UTC 2025","passed","Wed Dec 31 08:59:47 UTC 2025","Dashboard","Dashboard","",""
"","3694","test_edit_course[chromium]","tests.courses","Wed Dec 31 08:59:43 UTC 2025","passed","Wed Dec 31 08:59:47 UTC 2025","TestCourses","test_courses","",""
"","1939","Registration with correct email, username and password","LMS system","Wed Dec 31 08:59:38 UTC 2025","passed","Wed Dec 31 08:59:40 UTC 2025","Registration","Authentication","",""
"","1934","User login with wrong email or password","LMS system","Wed Dec 31 08:59:33 UTC 2025","passed","Wed Dec 31 08:59:35 UTC 2025","Authorization","Authentication","",""
"","1875","User login with wrong email or password","LMS system","Wed Dec 31 08:59:33 UTC 2025","passed","Wed Dec 31 08:59:35 UTC 2025","Authorization","Authentication","",""
"","1506","Navigation from login page to registration page","LMS system","Wed Dec 31 08:59:39 UTC 2025","passed","Wed Dec 31 08:59:41 UTC 2025","Authorization","Authentication","",""
"","1731","User login with wrong email or password","LMS system","Wed Dec 31 08:59:36 UTC 2025","passed","Wed Dec 31 08:59:37 UTC 2025","Authorization","Authentication","",""
