"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2872","User login with correct email and password","LMS system","Mon Dec 29 16:34:10 UTC 2025","passed","Mon Dec 29 16:34:13 UTC 2025","Authorization","Authentication","",""
"","2073","User login with wrong email or password","LMS system","Mon Dec 29 16:34:08 UTC 2025","passed","Mon Dec 29 16:34:10 UTC 2025","Authorization","Authentication","",""
"","2053","Check displaying of dashboard page","LMS system","Mon Dec 29 16:34:18 UTC 2025","passed","Mon Dec 29 16:34:20 UTC 2025","Dashboard","Dashboard","",""
"","2140","User login with wrong email or password","LMS system","Mon Dec 29 16:34:08 UTC 2025","passed","Mon Dec 29 16:34:10 UTC 2025","Authorization","Authentication","",""
"","0","test_case1","tests.pytest","Mon Dec 29 16:34:21 UTC 2025","passed","Mon Dec 29 16:34:21 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","1722","Registration with correct email, username and password","LMS system","Mon Dec 29 16:34:15 UTC 2025","passed","Mon Dec 29 16:34:17 UTC 2025","Registration","Authentication","",""
"","1","test_case2","tests.pytest","Mon Dec 29 16:34:21 UTC 2025","passed","Mon Dec 29 16:34:21 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","1424","Navigation from login page to registration page","LMS system","Mon Dec 29 16:34:13 UTC 2025","passed","Mon Dec 29 16:34:15 UTC 2025","Authorization","Authentication","",""
"","1572","User login with wrong email or password","LMS system","Mon Dec 29 16:34:10 UTC 2025","passed","Mon Dec 29 16:34:12 UTC 2025","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","Mon Dec 29 16:34:21 UTC 2025","passed","Mon Dec 29 16:34:21 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 16:34:21 UTC 2025","passed","Mon Dec 29 16:34:21 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 16:34:22 UTC 2025","passed","Mon Dec 29 16:34:22 UTC 2025","TestUserInterface","test_markers","",""
"","0","test_password_reset","tests.pytest","Mon Dec 29 16:34:21 UTC 2025","passed","Mon Dec 29 16:34:21 UTC 2025","TestUserAuthentication","test_markers","",""
"","2375","Create course","LMS system","Mon Dec 29 16:34:15 UTC 2025","passed","Mon Dec 29 16:34:18 UTC 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Mon Dec 29 16:34:21 UTC 2025","passed","Mon Dec 29 16:34:21 UTC 2025","TestUserAuthentication","test_markers","",""
"","1547","Check displaying of empty courses list","LMS system","Mon Dec 29 16:34:14 UTC 2025","passed","Mon Dec 29 16:34:15 UTC 2025","Courses","Courses","",""
"","3601","Edit course","LMS system","Mon Dec 29 16:34:18 UTC 2025","passed","Mon Dec 29 16:34:22 UTC 2025","Courses","Courses","",""
