"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1730","User login with wrong email or password","LMS system","Mon Dec 29 16:29:38 UTC 2025","passed","Mon Dec 29 16:29:40 UTC 2025","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserAuthentication","test_markers","",""
"","2338","Create course","LMS system","Mon Dec 29 16:29:46 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","Courses","Courses","",""
"","1711","Registration with correct email, username and password","LMS system","Mon Dec 29 16:29:44 UTC 2025","passed","Mon Dec 29 16:29:45 UTC 2025","Registration","Authentication","",""
"","1657","Navigation from login page to registration page","LMS system","Mon Dec 29 16:29:42 UTC 2025","passed","Mon Dec 29 16:29:43 UTC 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserInterface","test_markers","",""
"","1482","Check displaying of empty courses list","LMS system","Mon Dec 29 16:29:45 UTC 2025","passed","Mon Dec 29 16:29:46 UTC 2025","Courses","Courses","",""
"","1686","User login with wrong email or password","LMS system","Mon Dec 29 16:29:38 UTC 2025","passed","Mon Dec 29 16:29:39 UTC 2025","Authorization","Authentication","",""
"","1601","User login with wrong email or password","LMS system","Mon Dec 29 16:29:40 UTC 2025","passed","Mon Dec 29 16:29:41 UTC 2025","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserAuthentication","test_markers","",""
"","1528","Check displaying of dashboard page","LMS system","Mon Dec 29 16:29:51 UTC 2025","passed","Mon Dec 29 16:29:52 UTC 2025","Dashboard","Dashboard","",""
"","2903","User login with correct email and password","LMS system","Mon Dec 29 16:29:40 UTC 2025","passed","Mon Dec 29 16:29:43 UTC 2025","Authorization","Authentication","",""
"","3185","Edit course","LMS system","Mon Dec 29 16:29:47 UTC 2025","passed","Mon Dec 29 16:29:50 UTC 2025","Courses","Courses","",""
"","0","test_case2","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_case1","tests.pytest","Mon Dec 29 16:29:49 UTC 2025","passed","Mon Dec 29 16:29:49 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
