"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1901","Check displaying of dashboard page","LMS system","Sun Jan 11 14:21:15 UTC 2026","passed","Sun Jan 11 14:21:17 UTC 2026","Dashboard","Dashboard","",""
"","4211","Edit course","LMS system","Sun Jan 11 14:21:12 UTC 2026","passed","Sun Jan 11 14:21:16 UTC 2026","Courses","Courses","",""
"","2732","Registration with correct email, username and password","LMS system","Sun Jan 11 14:21:07 UTC 2026","passed","Sun Jan 11 14:21:10 UTC 2026","Registration","Authentication","",""
"","3887","User login with correct email and password","LMS system","Sun Jan 11 14:21:07 UTC 2026","passed","Sun Jan 11 14:21:11 UTC 2026","Authorization","Authentication","",""
"","2347","User login with wrong email or password","LMS system","Sun Jan 11 14:21:04 UTC 2026","passed","Sun Jan 11 14:21:06 UTC 2026","Authorization","Authentication","",""
"","2507","User login with wrong email or password","LMS system","Sun Jan 11 14:21:04 UTC 2026","passed","Sun Jan 11 14:21:06 UTC 2026","Authorization","Authentication","",""
"","2134","Check displaying of empty courses list","LMS system","Sun Jan 11 14:21:13 UTC 2026","passed","Sun Jan 11 14:21:15 UTC 2026","Courses","Courses","",""
"","3222","Create course","LMS system","Sun Jan 11 14:21:11 UTC 2026","passed","Sun Jan 11 14:21:15 UTC 2026","Courses","Courses","",""
"","2008","User login with wrong email or password","LMS system","Sun Jan 11 14:21:07 UTC 2026","passed","Sun Jan 11 14:21:09 UTC 2026","Authorization","Authentication","",""
"","2594","Navigation from login page to registration page","LMS system","Sun Jan 11 14:21:04 UTC 2026","passed","Sun Jan 11 14:21:06 UTC 2026","Authorization","Authentication","",""
