"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 15:54:02 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","TestUserInterface","test_markers","",""
"","0","test_case1","tests.pytest","Mon Dec 29 15:54:02 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","1867","Registration with correct email, username and password","LMS system","Mon Dec 29 15:53:56 UTC 2025","passed","Mon Dec 29 15:53:58 UTC 2025","Registration","Authentication","",""
"","1668","User login with wrong email or password","LMS system","Mon Dec 29 15:53:50 UTC 2025","passed","Mon Dec 29 15:53:52 UTC 2025","Authorization","Authentication","",""
"","2965","Create course","LMS system","Mon Dec 29 15:53:56 UTC 2025","passed","Mon Dec 29 15:53:59 UTC 2025","Courses","Courses","",""
"","1938","Check displaying of dashboard page","LMS system","Mon Dec 29 15:54:00 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","Dashboard","Dashboard","",""
"","0","test_password_reset","tests.pytest","Mon Dec 29 15:54:02 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_case2","tests.pytest","Mon Dec 29 15:54:02 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","0","test_login","tests.pytest","Mon Dec 29 15:54:03 UTC 2025","passed","Mon Dec 29 15:54:03 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Mon Dec 29 15:54:02 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","TestUserAuthentication","test_markers","",""
"","2979","User login with correct email and password","LMS system","Mon Dec 29 15:53:50 UTC 2025","passed","Mon Dec 29 15:53:53 UTC 2025","Authorization","Authentication","",""
"","1596","Check displaying of empty courses list","LMS system","Mon Dec 29 15:53:54 UTC 2025","passed","Mon Dec 29 15:53:55 UTC 2025","Courses","Courses","",""
"","2112","Navigation from login page to registration page","LMS system","Mon Dec 29 15:53:54 UTC 2025","passed","Mon Dec 29 15:53:56 UTC 2025","Authorization","Authentication","",""
"","1952","User login with wrong email or password","LMS system","Mon Dec 29 15:53:48 UTC 2025","passed","Mon Dec 29 15:53:50 UTC 2025","Authorization","Authentication","",""
"","3424","Edit course","LMS system","Mon Dec 29 15:53:59 UTC 2025","passed","Mon Dec 29 15:54:03 UTC 2025","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 15:54:02 UTC 2025","passed","Mon Dec 29 15:54:02 UTC 2025","TestUserAuthentication","test_markers","",""
"","1980","User login with wrong email or password","LMS system","Mon Dec 29 15:53:48 UTC 2025","passed","Mon Dec 29 15:53:50 UTC 2025","Authorization","Authentication","",""
