"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1957","Check displaying of dashboard page","LMS system","Wed Dec 31 09:04:42 UTC 2025","passed","Wed Dec 31 09:04:44 UTC 2025","Dashboard","Dashboard","",""
"","2439","Create course","LMS system","Wed Dec 31 09:04:38 UTC 2025","passed","Wed Dec 31 09:04:41 UTC 2025","Courses","Courses","",""
"","1769","User login with wrong email or password","LMS system","Wed Dec 31 09:04:32 UTC 2025","passed","Wed Dec 31 09:04:33 UTC 2025","Authorization","Authentication","",""
"","2878","User login with correct email and password","LMS system","Wed Dec 31 09:04:32 UTC 2025","passed","Wed Dec 31 09:04:35 UTC 2025","Authorization","Authentication","",""
"","3954","Edit course","LMS system","Wed Dec 31 09:04:39 UTC 2025","passed","Wed Dec 31 09:04:43 UTC 2025","Courses","Courses","",""
"","1883","User login with wrong email or password","LMS system","Wed Dec 31 09:04:29 UTC 2025","passed","Wed Dec 31 09:04:31 UTC 2025","Authorization","Authentication","",""
"","1890","User login with wrong email or password","LMS system","Wed Dec 31 09:04:29 UTC 2025","passed","Wed Dec 31 09:04:31 UTC 2025","Authorization","Authentication","",""
"","1491","Check displaying of empty courses list","LMS system","Wed Dec 31 09:04:37 UTC 2025","passed","Wed Dec 31 09:04:39 UTC 2025","Courses","Courses","",""
"","1704","Registration with correct email, username and password","LMS system","Wed Dec 31 09:04:35 UTC 2025","passed","Wed Dec 31 09:04:37 UTC 2025","Registration","Authentication","",""
"","1646","Navigation from login page to registration page","LMS system","Wed Dec 31 09:04:34 UTC 2025","passed","Wed Dec 31 09:04:35 UTC 2025","Authorization","Authentication","",""
