"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1642","User login with wrong email or password","LMS system","Mon Dec 29 16:25:48 UTC 2025","passed","Mon Dec 29 16:25:49 UTC 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 16:26:02 UTC 2025","passed","Mon Dec 29 16:26:02 UTC 2025","TestUserInterface","test_markers","",""
"","2066","Navigation from login page to registration page","LMS system","Mon Dec 29 16:25:50 UTC 2025","passed","Mon Dec 29 16:25:52 UTC 2025","Authorization","Authentication","",""
"","1929","User login with wrong email or password","LMS system","Mon Dec 29 16:25:45 UTC 2025","passed","Mon Dec 29 16:25:47 UTC 2025","Authorization","Authentication","",""
"","0","test_case1","tests.pytest","Mon Dec 29 16:26:01 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","0","test_logout","tests.pytest","Mon Dec 29 16:26:01 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","TestUserAuthentication","test_markers","",""
"","3699","Edit course","LMS system","Mon Dec 29 16:25:57 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Mon Dec 29 16:26:01 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_case2","tests.pytest","Mon Dec 29 16:26:01 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 16:26:01 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","TestUserAuthentication","test_markers","",""
"","2125","Check displaying of dashboard page","LMS system","Mon Dec 29 16:25:59 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","Mon Dec 29 16:26:01 UTC 2025","passed","Mon Dec 29 16:26:01 UTC 2025","TestUserAuthentication","test_markers","",""
"","3497","User login with correct email and password","LMS system","Mon Dec 29 16:25:48 UTC 2025","passed","Mon Dec 29 16:25:51 UTC 2025","Authorization","Authentication","",""
"","2693","Create course","LMS system","Mon Dec 29 16:25:56 UTC 2025","passed","Mon Dec 29 16:25:58 UTC 2025","Courses","Courses","",""
"","3258","Registration with correct email, username and password","LMS system","Mon Dec 29 16:25:52 UTC 2025","passed","Mon Dec 29 16:25:56 UTC 2025","Registration","Authentication","",""
"","1838","Check displaying of empty courses list","LMS system","Mon Dec 29 16:25:53 UTC 2025","passed","Mon Dec 29 16:25:55 UTC 2025","Courses","Courses","",""
"","2028","User login with wrong email or password","LMS system","Mon Dec 29 16:25:45 UTC 2025","passed","Mon Dec 29 16:25:47 UTC 2025","Authorization","Authentication","",""
