"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Mon Dec 29 16:07:55 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","0","test_case2","tests.pytest","Mon Dec 29 16:07:55 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","0","test_logout","tests.pytest","Mon Dec 29 16:07:55 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","1980","Check displaying of dashboard page","LMS system","Mon Dec 29 16:07:53 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","Dashboard","Dashboard","",""
"","1955","User login with wrong email or password","LMS system","Mon Dec 29 16:07:42 UTC 2025","passed","Mon Dec 29 16:07:43 UTC 2025","Authorization","Authentication","",""
"","2548","Create course","LMS system","Mon Dec 29 16:07:49 UTC 2025","passed","Mon Dec 29 16:07:52 UTC 2025","Courses","Courses","",""
"","1731","User login with wrong email or password","LMS system","Mon Dec 29 16:07:44 UTC 2025","passed","Mon Dec 29 16:07:46 UTC 2025","Authorization","Authentication","",""
"","1952","Registration with correct email, username and password","LMS system","Mon Dec 29 16:07:49 UTC 2025","passed","Mon Dec 29 16:07:51 UTC 2025","Registration","Authentication","",""
"","2953","User login with correct email and password","LMS system","Mon Dec 29 16:07:44 UTC 2025","passed","Mon Dec 29 16:07:47 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 16:07:55 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","1975","User login with wrong email or password","LMS system","Mon Dec 29 16:07:42 UTC 2025","passed","Mon Dec 29 16:07:44 UTC 2025","Authorization","Authentication","",""
"","0","test_case1","tests.pytest","Mon Dec 29 16:07:55 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","TestUserAuthentication > TestSuite","test_markers","",""
"","3326","Edit course","LMS system","Mon Dec 29 16:07:53 UTC 2025","passed","Mon Dec 29 16:07:56 UTC 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 16:07:56 UTC 2025","passed","Mon Dec 29 16:07:56 UTC 2025","TestUserInterface","test_markers","",""
"","1619","Navigation from login page to registration page","LMS system","Mon Dec 29 16:07:47 UTC 2025","passed","Mon Dec 29 16:07:49 UTC 2025","Authorization","Authentication","",""
"","1626","Check displaying of empty courses list","LMS system","Mon Dec 29 16:07:48 UTC 2025","passed","Mon Dec 29 16:07:49 UTC 2025","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Mon Dec 29 16:07:55 UTC 2025","passed","Mon Dec 29 16:07:55 UTC 2025","TestUserAuthentication","test_markers","",""
